DATE,DSF,OPEN SD,COMMENTS
10-Feb-15,0,35.25,
11-Feb-15,1,37,
12-Feb-15,0,35,
13-Feb-15,1.5,36.5,
14-Feb-15,0.2,34.5,
15-Feb-15,0.1,35,
16-Feb-15,0,34.5,
17-Feb-15,0,34,
18-Feb-15,0,33.75,
19-Feb-15,1,34.25,
20-Feb-15,0.1,35.5,
21-Feb-15,0,34.5,
22-Feb-15,0,33.5,
23-Feb-15,0,33,
24-Feb-15,0,31,
25-Feb-15,0,32.67,
26-Feb-15,0.1,33.33,
27-Feb-15,0,32.27,
28-Feb-15,0,NA,
01-Mar-15,0,NA,
02-Mar-15,0,32,
03-Mar-15,0,31.33,
04-Mar-15,0,31.33,
05-Mar-15,0.5,32.5,
06-Mar-15,2,33.5,
07-Mar-15,0,32.83,
08-Mar-15,0,33.17,
09-Mar-15,0.7,34.5,
10-Mar-15,0.5,34.5,
11-Mar-15,0,35.17,
12-Mar-15,3,38.67,
13-Mar-15,7,41.83,
14-Mar-15,0,41.5,
15-Mar-15,0,42.17,
16-Mar-15,0,41.33,
17-Mar-15,0,NA,
18-Mar-15,0.5,37.5,
19-Mar-15,0,38.67,
20-Mar-15,0,37.33,
21-Mar-15,0.2,36.67,
22-Mar-15,0,37.33,
23-Mar-15,2.5,38.67,
24-Mar-15,0,36.67,
25-Mar-15,0,37.67,
26-Mar-15,0,36.33,
27-Mar-15,0,NA,
28-Mar-15,0,36.33,
29-Mar-15,0.1,37.17,
30-Mar-15,0,35.67,
31-Mar-15,0,35.17,
01-Apr-15,0,35.83,
02-Apr-15,0,32.67,
03-Apr-15,0,35.67,
04-Apr-15,0,33.67,
05-Apr-15,0,33.67,
06-Apr-15,0,30.33,
07-Apr-15,0,NA,
08-Apr-15,0,28,
09-Apr-15,0.1,27.67,
10-Apr-15,0,25.83,
11-Apr-15,0,25.83,
12-Apr-15,0,25.33,
13-Apr-15,0,NA,
14-Apr-15,0.4,23.33,
15-Apr-15,1.3,NA,
16-Apr-15,0,15.67,
17-Apr-15,0,NA,
18-Apr-15,0,15,
19-Apr-15,0,14.5,
20-Apr-15,0,NA,
21-Apr-15,0,9,
22-Apr-15,0,NA,
23-Apr-15,0,NA,
24-Apr-15,0,NA,
25-Apr-15,0,NA,
26-Apr-15,0,NA,
27-Apr-15,0,0,estimated from cameras
28-Apr-15,0,0,
29-Apr-15,0,0,
30-Apr-15,0,0,
01-May-15,0,0,
02-May-15,0,0,
03-May-15,0,0,
04-May-15,0,0,
05-May-15,0,0,
06-May-15,0,0,
