Sample,ID,Beaker,Beaker_mass,DM_sample_mass,Post_Dry_wbeaker,DM,CP_AI,CP_F
BT 05-02-23 A,1,118,29.4202,0.704,30.0762,0.931818182,8.0957,8.688068293
KL 15-01-23 A,2,135,31.3917,1.1149,32.4344,0.935240829,10.129,10.83036549
LL 29-01-23 I,3,11,14.4904,0.4314,14.8978,0.944367177,10.008,10.5975729
LL 24-01-23 C,4,10,14.4892,0.1965,14.6729,0.934860051,9.5717,10.2386448
KW 19-01-23,5,17,14.4924,0.3902,14.8585,0.938236802,10.865,11.58023218
BT 05-02-23 C,6,159,30.4528,0.8298,31.2282,0.934442034,8.7789,9.394804256
BT 29-01-23 C,7,6,14.4609,0.3446,14.7849,0.940220546,10.836,11.52495556
KW 28-01-23 E,8,125,28.7082,0.9609,29.6122,0.940784681,9.567,10.16917069
LL 05-02-23 H,9,109,28.5434,0.9136,29.3955,0.932683888,10.699,11.47119634
KW 05-02-23 A,10,13,14.4657,0.2828,14.7331,0.945544554,10.627,11.23902618
KW 29-01-23 A,11,122,29.1748,0.7745,29.8958,0.930923176,8.6093,9.248131553
KW 05-02-23 C,12,101,28.948,1.0555,29.9393,0.939175746,10.025,10.67425351
LL 05-02-23 F,13,12,14.3598,0.2799,14.6223,0.937834941,10.061,10.72790057
LL 29-01-23 F,14,117,28.6716,1.33,29.9174,0.936691729,11.311,12.0754776
KW 29-01-23 B,15,18,14.3771,0.3812,14.7383,0.947534103,10.509,11.09089369
SU 17-01-23 A,16,106,28.7533,1.6767,30.3323,0.941730781,10.045,10.6665304
KW 28-02-23 D,17,114,29.0416,0.8517,29.842,0.939767524,9.6938,10.31510427
BT 19-01-23 C,18,3,14.3916,0.1012,14.4881,0.953557312,8.766,9.192945078
KW 24-01-23 F,19,161,28.997,1.0486,29.9789,0.936391379,11.11,11.86469702
KL 15-01-23 B,20,146,30.4579,1.2838,31.6599,0.93628291,11.293,12.06152529
LL 29-01-23 H,21,126,29.0332,0.9219,29.9013,0.941642261,11.932,12.67147886
LL 29-01-23 L,22,95,30.4232,1.0519,31.4037,0.932122825,9.6829,10.38800868
LL 05-02-23 C,23,19,14.4356,0.426,14.8352,0.938028169,7.7623,8.275124625
KW 24-01-23 B,24,110,28.8305,1.1492,29.9122,0.941263488,8.8254,9.376120625
LL 05-02-23 G,25,104,28.8126,0.7835,29.5449,0.934652202,12.17,13.02088625
RL 19-01-23 D,26,119,28.8632,1.0106,29.8117,0.938551356,10.278,10.95091914
KW 24-01-23 D,27,167,28.9429,1.2021,30.0671,0.935196739,9.7054,10.37792327
KW 29-01-23 D,28,145,29.2169,1.0273,30.1759,0.933515039,9.7151,10.40700962
BT 24-01-23 G,29,151,28.7565,0.9429,29.6355,0.932230353,10.347,11.09918805
AG 28-01-23 A,30,103,29.3541,1.1073,30.3927,0.937957193,9.9981,10.65944168
LL 05-02-23 E,31,156,28.9262,1.1655,30.0109,0.930673531,10.561,11.34769568
BT 29-01-23 B,32,9,14.4278,0.3858,14.7909,0.941161223,9.4843,10.077232
JO 05-02-23 B,33,20,14.3908,0.212,14.59,0.939622642,12.061,12.83600402
LL 05-02-23 B,34,21,14.4786,0.3342,14.7928,0.940155595,8.6563,9.207305729
KW 29-01-23 E,35,136,29.013,0.8719,29.8357,0.94357151,8.4046,8.907221028
KW 05-02-23 E,36,143,29.1937,1.2194,30.3357,0.93652616,8.3267,8.891049019
