date,snow_depth,grid
1/1/1980,0.676039705,Chitty Hare
1/2/1980,0.696478538,Chitty Hare
1/3/1980,0.699628525,Chitty Hare
1/4/1980,0.699628525,Chitty Hare
1/5/1980,0.699628525,Chitty Hare
1/6/1980,0.723759118,Chitty Hare
1/7/1980,0.734595299,Chitty Hare
1/8/1980,0.752745293,Chitty Hare
1/9/1980,0.752745293,Chitty Hare
1/10/1980,0.752745293,Chitty Hare
1/11/1980,0.752745293,Chitty Hare
1/12/1980,0.769131479,Chitty Hare
1/13/1980,0.769131479,Chitty Hare
1/14/1980,0.769131479,Chitty Hare
1/15/1980,0.769131479,Chitty Hare
1/16/1980,0.769131479,Chitty Hare
1/17/1980,0.769131479,Chitty Hare
1/18/1980,0.769131479,Chitty Hare
1/19/1980,0.769131479,Chitty Hare
1/20/1980,0.769131479,Chitty Hare
1/21/1980,0.766992643,Chitty Hare
1/22/1980,0.751862055,Chitty Hare
1/23/1980,0.751862055,Chitty Hare
1/24/1980,0.751862055,Chitty Hare
1/25/1980,0.751862055,Chitty Hare
1/26/1980,0.751862055,Chitty Hare
1/27/1980,0.751862055,Chitty Hare
1/28/1980,0.766037051,Chitty Hare
1/29/1980,0.766037051,Chitty Hare
1/30/1980,0.785348233,Chitty Hare
1/31/1980,0.818717952,Chitty Hare
2/1/1980,0.818717952,Chitty Hare
2/2/1980,0.814273534,Chitty Hare
2/3/1980,0.814273534,Chitty Hare
2/4/1980,0.814273534,Chitty Hare
2/5/1980,0.805084708,Chitty Hare
2/6/1980,0.795501465,Chitty Hare
2/7/1980,0.794168245,Chitty Hare
2/8/1980,0.794168245,Chitty Hare
2/9/1980,0.794168245,Chitty Hare
2/10/1980,0.794168245,Chitty Hare
2/11/1980,0.794168245,Chitty Hare
2/12/1980,0.794168245,Chitty Hare
2/13/1980,0.794168245,Chitty Hare
2/14/1980,0.794168245,Chitty Hare
2/15/1980,0.794168245,Chitty Hare
2/16/1980,0.794168245,Chitty Hare
2/17/1980,0.794168245,Chitty Hare
2/18/1980,0.814793245,Chitty Hare
2/19/1980,0.829023841,Chitty Hare
2/20/1980,0.829023841,Chitty Hare
2/21/1980,0.829023841,Chitty Hare
2/22/1980,0.829023841,Chitty Hare
2/23/1980,0.829023841,Chitty Hare
2/24/1980,0.823793222,Chitty Hare
2/25/1980,0.823793222,Chitty Hare
2/26/1980,0.823793222,Chitty Hare
2/27/1980,0.823793222,Chitty Hare
2/28/1980,0.859737638,Chitty Hare
2/29/1980,0.901887658,Chitty Hare
3/1/1980,0.901887658,Chitty Hare
3/2/1980,0.901887658,Chitty Hare
3/3/1980,0.901887658,Chitty Hare
3/4/1980,0.901887658,Chitty Hare
3/5/1980,0.901887658,Chitty Hare
3/6/1980,0.901887658,Chitty Hare
3/7/1980,0.901887658,Chitty Hare
3/8/1980,0.901887658,Chitty Hare
3/9/1980,0.929898825,Chitty Hare
3/10/1980,0.929898825,Chitty Hare
3/11/1980,0.929898825,Chitty Hare
3/12/1980,0.929898825,Chitty Hare
3/13/1980,0.929898825,Chitty Hare
3/14/1980,0.929898825,Chitty Hare
3/15/1980,0.945290574,Chitty Hare
3/16/1980,0.963101779,Chitty Hare
3/17/1980,0.963101779,Chitty Hare
3/18/1980,0.963101779,Chitty Hare
3/19/1980,0.963101779,Chitty Hare
3/20/1980,0.963101779,Chitty Hare
3/21/1980,0.963101779,Chitty Hare
3/22/1980,0.963101779,Chitty Hare
3/23/1980,0.963101779,Chitty Hare
3/24/1980,0.963101779,Chitty Hare
3/25/1980,0.963101779,Chitty Hare
3/26/1980,0.963101779,Chitty Hare
3/27/1980,0.963101779,Chitty Hare
3/28/1980,0.963101779,Chitty Hare
3/29/1980,0.963101779,Chitty Hare
3/30/1980,0.959612954,Chitty Hare
3/31/1980,0.959612954,Chitty Hare
12/1/1980,0.502625591,Chitty Hare
12/2/1980,0.502625591,Chitty Hare
12/3/1980,0.502625591,Chitty Hare
12/4/1980,0.502625591,Chitty Hare
12/5/1980,0.502625591,Chitty Hare
12/6/1980,0.521506182,Chitty Hare
12/7/1980,0.521506182,Chitty Hare
