"Date","Forage","Hopping","notmoving","Sprinting","id","total"
2018-11-26,24935,72,61385,8,"22109",86400
2018-11-27,26380,68,59940,12,"22109",86400
2018-11-28,23813,92,62467,28,"22109",86400
2018-12-01,27808,80,58500,12,"22109",86400
2018-12-02,25292,56,61044,8,"22109",86400
2018-12-03,25713,44,60631,12,"22109",86400
2018-12-04,31888,92,54408,12,"22109",86400
2018-12-05,29827,88,56477,8,"22109",86400
2018-12-06,22396,64,63912,28,"22109",86400
2018-12-08,23152,72,63156,20,"22109",86400
2018-12-09,21336,164,64860,40,"22109",86400
2018-12-10,22945,224,63211,20,"22109",86400
2018-12-11,24551,156,61685,8,"22109",86400
2018-12-12,27801,356,58075,168,"22109",86400
2018-12-13,27436,172,58788,4,"22109",86400
2018-12-14,27235,224,58913,28,"22109",86400
2018-12-15,24529,200,61603,68,"22109",86400
2018-12-16,17383,100,68897,20,"22109",86400
2018-12-18,23272,76,63048,4,"22109",86400
2018-12-19,25083,168,61109,40,"22109",86400
2018-12-20,28028,252,58104,16,"22109",86400
2018-12-21,23568,164,62652,16,"22109",86400
2018-12-22,24220,112,62052,16,"22109",86400
2018-12-23,23877,100,62407,16,"22109",86400
2018-12-24,26172,232,59976,20,"22109",86400
2018-12-25,24208,292,61824,76,"22109",86400
2018-12-26,25820,76,60492,12,"22109",86400
2018-12-27,24747,140,61493,20,"22109",86400
2018-12-28,26568,104,59712,16,"22109",86400
2018-12-29,24829,132,61423,16,"22109",86400
2018-12-30,22912,104,63372,12,"22109",86400
2018-12-31,19944,128,66288,40,"22109",86400
2019-01-01,19887,96,66389,28,"22109",86400
2019-01-02,27865,172,58351,12,"22109",86400
2019-01-03,26796,364,59148,92,"22109",86400
2019-01-04,34996,336,51048,20,"22109",86400
2019-01-05,21387,200,64805,8,"22109",86400
2019-01-06,17661,100,68623,16,"22109",86400
2019-01-07,22975,184,63197,44,"22109",86400
2019-01-08,23624,96,62652,28,"22109",86400
2019-01-09,24744,152,61488,16,"22109",86400
2019-01-10,24225,124,62011,40,"22109",86400
2019-01-11,21543,84,64757,16,"22109",86400
2019-01-12,25376,116,60888,20,"22109",86400
2019-01-13,28533,124,57715,28,"22109",86400
2019-01-14,32747,96,53513,44,"22109",86400
2019-01-15,30680,116,55560,44,"22109",86400
2019-01-17,26924,32,59424,20,"22109",86400
2019-01-18,26051,232,60041,76,"22109",86400
2019-01-19,24584,68,61728,20,"22109",86400
2019-01-20,24865,132,61387,16,"22109",86400
2019-01-21,22931,44,63413,12,"22109",86400
2019-01-22,25040,204,61128,28,"22109",86400
2019-01-23,27297,244,58855,4,"22109",86400
2018-05-21,44308,2152,39708,232,"22109",86400
2018-05-22,34888,620,50820,72,"22109",86400
2018-05-23,39340,984,45972,104,"22109",86400
2018-05-24,32176,564,53472,188,"22109",86400
2018-05-25,37012,832,48408,148,"22109",86400
2018-05-26,33344,460,52476,120,"22109",86400
2018-05-27,33436,900,51960,104,"22109",86400
2018-05-28,36804,1128,48300,168,"22109",86400
2018-05-29,30700,1668,53784,248,"22109",86400
2018-05-30,29844,192,56268,96,"22109",86400
2018-05-31,33780,752,51732,136,"22109",86400
2018-06-01,33604,624,52032,140,"22109",86400
2018-06-02,30704,1208,54288,200,"22109",86400
2018-06-03,34324,788,51156,132,"22109",86400
2018-06-04,34516,1428,50268,188,"22109",86400
2018-06-05,40336,1492,44316,256,"22109",86400
2018-06-06,39688,1348,45180,184,"22109",86400
2018-06-07,34544,376,51408,72,"22109",86400
2018-06-08,35756,624,49848,172,"22109",86400
2018-06-09,33656,768,51852,124,"22109",86400
2018-06-10,34592,1228,50424,156,"22109",86400
2018-06-11,31348,924,54012,116,"22109",86400
2018-06-12,38788,720,46776,116,"22109",86400
2018-06-13,31492,416,54372,120,"22109",86400
2018-06-14,29372,836,56016,176,"22109",86400
2018-06-15,34552,836,50868,144,"22109",86400
2018-06-16,31492,500,54288,120,"22109",86400
2018-06-17,43668,792,41772,168,"22109",86400
2018-06-18,45848,1308,39084,160,"22109",86400
2018-06-19,44536,1248,40440,176,"22109",86400
2018-06-20,58224,1824,26196,156,"22109",86400
2018-06-21,46200,1180,38868,152,"22109",86400
2018-06-22,57136,1680,27444,140,"22109",86400
2018-06-23,55960,1612,28572,256,"22109",86400
2018-06-24,58288,1900,25932,280,"22109",86400
2018-06-25,54892,1184,30168,156,"22109",86400
2018-06-26,56384,1488,28296,232,"22109",86400
2018-06-27,54356,1376,30456,212,"22109",86400
2018-06-28,62500,2420,21096,384,"22109",86400
2018-06-29,63704,2648,19632,416,"22109",86400
2018-06-30,63584,2476,19920,420,"22109",86400
2018-07-01,62468,2584,20928,420,"22109",86400
2018-07-02,46764,1688,37704,244,"22109",86400
2018-07-03,63064,2880,20076,380,"22109",86400
2018-07-04,57256,1636,27348,160,"22109",86400
2018-07-05,49256,1388,35520,236,"22109",86400
2018-07-06,61184,2512,22308,396,"22109",86400
2018-07-07,57960,2336,25800,304,"22109",86400
2018-07-08,52088,1396,32700,216,"22109",86400
2018-07-09,56428,2276,27372,324,"22109",86400
2018-07-10,49720,1656,34824,200,"22109",86400
2018-07-11,51328,1084,33852,136,"22109",86400
2018-07-12,44944,620,40728,108,"22109",86400
2018-07-13,54724,1980,29400,296,"22109",86400
2018-07-14,46764,1196,38244,196,"22109",86400
2018-07-15,46520,860,38880,140,"22109",86400
2018-07-16,50128,1108,34968,196,"22109",86400
2018-07-17,48816,1100,36300,184,"22109",86400
2018-07-18,41988,776,43488,148,"22109",86400
2018-07-19,51068,1580,33492,260,"22109",86400
2018-07-20,42584,964,42744,108,"22109",86400
2018-07-21,40736,756,44796,112,"22109",86400
2018-07-22,44064,884,41316,136,"22109",86400
2018-07-23,42356,680,43260,104,"22109",86400
2018-07-24,44240,904,41148,108,"22109",86400
2018-07-25,44444,676,41208,72,"22109",86400
2018-07-26,46316,852,39096,136,"22109",86400
2018-07-27,41376,752,44112,160,"22109",86400
2018-05-25,45532,404,40356,108,"22724",86400
2018-05-26,51421,424,34487,68,"22724",86400
2018-05-27,51495,276,34561,68,"22724",86400
2018-05-28,37977,228,48119,76,"22724",86400
2018-05-29,47484,292,38544,80,"22724",86400
2018-05-30,50044,224,36060,72,"22724",86400
2018-05-31,49207,260,36841,92,"22724",86400
2018-06-01,45928,304,40092,76,"22724",86400
2018-06-02,45824,192,40356,28,"22724",86400
2018-06-03,41213,364,44759,64,"22724",86400
2018-06-04,44076,236,42048,40,"22724",86400
2018-06-05,50432,320,35592,56,"22724",86400
2018-06-06,45484,272,40584,60,"22724",86400
2018-06-07,44852,192,41292,64,"22724",86400
2018-06-08,48396,344,37560,100,"22724",86400
2018-06-09,38164,288,47868,80,"22724",86400
2018-06-10,44440,320,41508,132,"22724",86400
2018-06-11,39312,260,46716,112,"22724",86400
2018-06-12,41824,404,44028,144,"22724",86400
2018-06-13,46311,348,39685,56,"22724",86400
2018-06-14,40545,428,45359,68,"22724",86400
2018-06-15,40380,424,45444,152,"22724",86400
2018-06-16,42419,348,43549,84,"22724",86400
2018-06-17,39157,200,46979,64,"22724",86400
2018-06-18,62152,984,23100,164,"22724",86400
2018-06-19,58164,804,27300,132,"22724",86400
2018-06-20,64648,824,20832,96,"22724",86400
2018-06-21,51232,648,34464,56,"22724",86400
2018-06-22,64312,788,21156,144,"22724",86400
2018-06-23,50584,468,35256,92,"22724",86400
2018-06-24,60684,736,24828,152,"22724",86400
2018-06-25,53612,524,32196,68,"22724",86400
2018-06-26,49480,576,36252,92,"22724",86400
2018-06-27,36180,272,49932,16,"22724",86400
2018-06-28,57844,540,27948,68,"22724",86400
2018-06-29,58808,884,26460,248,"22724",86400
2018-06-30,56676,612,28992,120,"22724",86400
2018-07-01,60215,740,25345,100,"22724",86400
2018-07-02,55969,868,29435,128,"22724",86400
2018-07-03,62560,980,22668,192,"22724",86400
2018-07-04,46332,612,39324,132,"22724",86400
2018-07-05,49848,656,35784,112,"22724",86400
2018-07-06,65484,980,19776,160,"22724",86400
2018-07-07,38720,488,47136,56,"22724",86400
2018-07-08,43259,332,42781,28,"22724",86400
2018-07-09,53285,680,32303,132,"22724",86400
2018-07-10,41940,380,44004,76,"22724",86400
2018-07-11,49072,376,36852,100,"22724",86400
2018-07-12,46720,592,39000,88,"22724",86400
2018-07-13,44803,476,41017,104,"22724",86400
2018-07-14,54585,512,31175,128,"22724",86400
2018-07-15,40088,264,45972,76,"22724",86400
2018-07-16,37196,292,48852,60,"22724",86400
2018-07-17,50176,540,35520,164,"22724",86400
2018-07-18,38652,404,47232,112,"22724",86400
2018-07-19,38159,456,47641,144,"22724",86400
2018-07-20,42188,360,43704,148,"22724",86400
2018-07-21,46969,444,38903,84,"22724",86400
2018-07-22,37435,237,48684,44,"22724",86400
2018-07-23,27937,143,58296,24,"22724",86400
2018-07-24,42548,292,43488,72,"22724",86400
2018-07-25,42856,200,43320,24,"22724",86400
2018-07-26,33632,132,52596,40,"22724",86400
2018-07-27,44496,248,41616,40,"22724",86400
2019-02-26,25766,624,59950,60,"22837",86400
2019-02-27,33224,1348,51696,132,"22837",86400
2019-02-28,29320,868,56148,64,"22837",86400
2019-03-01,27838,636,57830,96,"22837",86400
2019-03-02,27732,804,57804,60,"22837",86400
2019-03-03,31810,964,53530,96,"22837",86400
2019-03-04,30324,660,55380,36,"22837",86400
2019-03-05,23144,472,62664,120,"22837",86400
2019-03-06,29066,772,56498,64,"22837",86400
2019-03-07,30276,872,55212,40,"22837",86400
2019-03-08,32196,1184,52896,124,"22837",86400
2019-03-09,25340,472,60504,84,"22837",86400
2019-03-10,20708,316,65316,60,"22837",86400
2019-03-11,30480,672,55164,84,"22837",86400
2019-03-12,25020,404,60924,52,"22837",86400
2019-03-13,27416,604,58296,84,"22837",86400
2019-03-14,22328,380,63660,32,"22837",86400
2019-03-15,25702,536,60058,104,"22837",86400
2019-03-16,23764,424,62148,64,"22837",86400
2019-03-17,21348,242,64790,20,"22837",86400
2019-03-18,14370,766,71160,104,"22837",86400
