tbl2_grids.id_grid,grid,tbl3_weeks.id_week,tbl3_weeks.id_grid,dateCap,week,id_hare,tbl4_hare.id_week,EartagLetter,Eartag,Sex,Repro_Male,Repro_Fem,Weight,Hindfoot,RHF_2,Weight_2,Weight_3,Weight_4,Fecal_VialCK1,Fecal_VialCK2,Fecal_VialCK3,Fecal_VialCK4,FecalTimeCK1,FecalTimeCK2,FecalTimeCK3,FecalTimeCK4
38,Sulphur,6399,38,23-Apr-2023,2398,67914,6399,B,26664,1,1,0,1150,135,135,1210,0,0,,,,,,,,
38,Sulphur,6399,38,23-Apr-2023,2398,67920,6399,B,27078,2,0,1,1050,127,125,1225,0,0,,,,,,,,
38,Sulphur,6399,38,23-Apr-2023,2398,67921,6399,B,26688,1,2,0,1120,139,142,1130,0,0,,,,,,,,
38,Sulphur,6399,38,23-Apr-2023,2398,67922,6399,B,26608,2,0,1,1240,137,0,1200,0,0,,,,,,,,
38,Sulphur,6399,38,23-Apr-2023,2398,67923,6399,B,26678,1,2,0,1100,130,0,0,0,0,,,,,,,,
38,Sulphur,6399,38,23-Apr-2023,2398,67924,6399,B,26357,1,2,0,1100,130,133,1010,0,0,,,,,,,,
38,Sulphur,6399,38,23-Apr-2023,2398,67925,6399,B,26621,2,0,1,1340,138,138,1475,0,0,,,,,,,,
38,Sulphur,6399,38,23-Apr-2023,2398,67926,6399,B,26778,1,1,0,1100,130,131,1050,0,0,,,,,,,,
38,Sulphur,6399,38,23-Apr-2023,2398,67918,6399,B,27077,1,1,0,1175,135,0,0,0,0,,,,,,,,
38,Sulphur,6399,38,23-Apr-2023,2398,67917,6399,B,27076,2,0,1,1200,135,137,1300,0,0,,,,,,,,
38,Sulphur,6399,38,23-Apr-2023,2398,67919,6399,B,26383,1,1,0,1200,136,135,1250,0,0,,,,,,,,
38,Sulphur,6399,38,23-Apr-2023,2398,67915,6399,B,26342,1,1,0,1100,140,0,0,0,0,,,,,,,,
38,Sulphur,6399,38,23-Apr-2023,2398,67913,6399,B,6665,1,1,0,1225,140,140,1210,0,0,,,,,,,,
38,Sulphur,6399,38,23-Apr-2023,2398,67916,6399,B,26670,2,0,1,1125,142,144,1270,0,0,,,,,,,,
37,Silver,6398,37,22-Apr-2023,2397,67909,6398,B,26782,1,2,0,1120,135,133,1080,0,0,,,,,,,,
37,Silver,6398,37,22-Apr-2023,2397,67946,6398,B,26432,2,0,1,1260,143,0,0,0,0,,,,,,,,
37,Silver,6398,37,22-Apr-2023,2397,67945,6398,B,26661,1,2,0,1220,140,0,0,0,0,,,,,,,,
37,Silver,6398,37,22-Apr-2023,2397,67912,6398,B,27079,1,1,0,950,131,0,0,0,0,,,,,,,,
37,Silver,6398,37,22-Apr-2023,2397,67910,6398,B,26362,1,1,0,1120,142,0,0,0,0,,,,,,,,
37,Silver,6398,37,22-Apr-2023,2397,67908,6398,B,26328,2,0,1,1200,122,125,1200,0,0,,,,,,,,
37,Silver,6398,37,22-Apr-2023,2397,67906,6398,B,23318,2,0,1,1410,140,0,0,0,0,,,,,,,,
37,Silver,6398,37,22-Apr-2023,2397,67905,6398,B,23321,2,0,1,1200,139,0,0,0,0,,,,,,,,
37,Silver,6398,37,22-Apr-2023,2397,67904,6398,B,26603,1,1,0,1300,130,130,1200,0,0,,,,,,,,
37,Silver,6398,37,22-Apr-2023,2397,67903,6398,B,23317,1,2,0,1200,130,0,0,0,0,,,,,,,,
37,Silver,6398,37,22-Apr-2023,2397,67907,6398,B,27097,1,1,0,1225,138,131,1100,0,0,,,,,,,,
34,Chitty,6400,34,21-Apr-2023,2397,67928,6400,B,26327,2,0,1,1140,134,0,0,0,0,,,,,,,,
34,Chitty,6400,34,21-Apr-2023,2397,67942,6400,B,26450,1,2,0,1160,133,0,0,0,0,,,,,,,,
34,Chitty,6400,34,21-Apr-2023,2397,67941,6400,B,26694,1,1,0,1125,132,133,975,0,0,,,,,,,,
34,Chitty,6400,34,21-Apr-2023,2397,67940,6400,B,27098,2,0,1,1425,140,138,1300,0,0,,,,,,,,
34,Chitty,6400,34,21-Apr-2023,2397,67939,6400,B,27099,2,0,1,1400,139,136,1275,0,0,,,,,,,,
34,Chitty,6400,34,21-Apr-2023,2397,67937,6400,B,27100,1,2,0,1100,129,134,1000,0,0,,,,,,,,
34,Chitty,6400,34,21-Apr-2023,2397,67936,6400,B,23316,2,0,1,1175,139,130,1100,0,0,,,,,,,,
34,Chitty,6400,34,21-Apr-2023,2397,67935,6400,B,25611,2,0,1,1275,135,135,1240,0,0,,,,,,,,
34,Chitty,6400,34,21-Apr-2023,2397,67934,6400,B,23315,1,2,0,1425,130,0,0,0,0,,,,,,,,
34,Chitty,6400,34,21-Apr-2023,2397,67933,6400,B,26779,2,0,1,1240,130,135,1250,0,0,,,,,,,,
34,Chitty,6400,34,21-Apr-2023,2397,67932,6400,B,26443,1,2,0,1220,137,140,1150,0,0,,,,,,,,
34,Chitty,6400,34,21-Apr-2023,2397,67931,6400,B,26777,2,0,1,1200,129,133,1160,0,0,,,,,,,,
34,Chitty,6400,34,21-Apr-2023,2397,67930,6400,B,26657,2,0,1,1240,139,0,0,0,0,,,,,,,,
34,Chitty,6400,34,21-Apr-2023,2397,67929,6400,B,26605,1,2,0,1320,140,140,1260,0,0,,,,,,,,
34,Chitty,6400,34,21-Apr-2023,2397,67938,6400,B,26376,1,1,0,1375,127,135,1300,0,0,,,,,,,,
85,Jo,6397,85,07-Apr-2023,2395,67896,6397,B,26687,1,1,0,1370,136,0,0,0,0,,,,,,,,
85,Jo,6397,85,07-Apr-2023,2395,67898,6397,B,26669,2,0,1,1390,139,0,0,0,0,,,,,,,,
85,Jo,6397,85,07-Apr-2023,2395,67895,6397,B,26666,1,2,0,1190,136,0,0,0,0,,,,,,,,
85,Jo,6397,85,07-Apr-2023,2395,67897,6397,B,26668,2,0,1,1440,132,0,0,0,0,,,,,,,,
85,Jo,6397,85,07-Apr-2023,2395,67900,6397,B,26691,2,0,1,1220,137,0,0,0,0,,,,,,,,
85,Jo,6397,85,07-Apr-2023,2395,67901,6397,B,25355,2,0,1,1170,130,0,0,0,0,,,,,,,,
85,Jo,6397,85,07-Apr-2023,2395,67899,6397,B,26681,1,2,0,1150,130,0,0,0,0,,,,,,,,
38,Sulphur,6396,38,09-Mar-2023,2391,67889,6396,B,26621,2,0,1,1300,137,0,0,0,0,,,,,,,,
38,Sulphur,6396,38,09-Mar-2023,2391,67888,6396,B,26383,1,2,0,1280,137,0,0,0,0,,,,,,,,
38,Sulphur,6396,38,09-Mar-2023,2391,67887,6396,B,26606,2,0,1,1250,138,0,0,0,0,,,,,,,,
38,Sulphur,6396,38,09-Mar-2023,2391,67886,6396,B,26664,1,2,0,1350,133,0,0,0,0,,,,,,,,
38,Sulphur,6396,38,09-Mar-2023,2391,67885,6396,B,26670,2,0,1,1300,141,0,0,0,0,,,,,,,,
38,Sulphur,6396,38,09-Mar-2023,2391,67890,6396,B,26665,1,2,0,1360,141,0,0,0,0,,,,,,,,
63,Kloo,6394,63,03-Mar-2023,2390,67880,6394,B,26689,2,0,1,1540,141,0,0,0,0,,,,,,,,
63,Kloo,6394,63,03-Mar-2023,2390,67875,6394,B,26690,1,2,0,1440,139,141,1380,0,0,,,,,,,,
63,Kloo,6394,63,03-Mar-2023,2390,67876,6394,B,26667,1,2,0,1300,130,128,1300,0,0,,,,,,,,
