snowgrid,location,date_detected,snow_depth_cm,Observer,Comments
Agnes,A10_4,10/1/2019 11:00,0,LGH,
Agnes,A10_4,10/2/2019 11:00,0,LGH,
Agnes,A10_4,10/3/2019 11:00,0,LGH,
Agnes,A10_4,10/4/2019 11:00,0,LGH,
Agnes,A10_4,10/5/2019 11:00,0,LGH,
Agnes,A10_4,10/6/2019 11:00,2,LGH,
Agnes,A10_4,10/7/2019 11:00,2,LGH,
Agnes,A10_4,10/8/2019 11:00,2,LGH,
Agnes,A10_4,10/9/2019 11:00,2,LGH,
Agnes,A10_4,10/10/2019 11:00,2,LGH,
Agnes,A10_4,10/11/2019 11:00,5,LGH,
Agnes,A10_4,10/12/2019 11:00,5,LGH,
Agnes,A10_4,10/13/2019 11:00,5,LGH,
Agnes,A10_4,10/14/2019 11:00,5,LGH,
Agnes,A10_4,10/15/2019 11:00,5,LGH,
Agnes,A10_4,10/16/2019 11:00,5,LGH,
Agnes,A10_4,10/17/2019 11:00,7,LGH,
Agnes,A10_4,10/18/2019 11:00,7,LGH,
Agnes,A10_4,10/19/2019 11:00,7,LGH,
Agnes,A10_4,10/20/2019 11:00,7,LGH,
Agnes,A10_4,10/21/2019 11:00,7,LGH,
Agnes,A10_4,10/22/2019 11:00,7,LGH,
Agnes,A10_4,10/23/2019 11:00,7,LGH,
Agnes,A10_4,10/24/2019 11:00,5,LGH,
Agnes,A10_4,10/25/2019 11:00,5,LGH,
Agnes,A10_4,10/26/2019 11:00,5,LGH,
Agnes,A10_4,10/27/2019 11:00,5,LGH,
Agnes,A10_4,10/28/2019 11:00,5,LGH,
Agnes,A10_4,10/29/2019 11:00,5,LGH,
Agnes,A10_4,10/30/2019 11:00,5,LGH,
Agnes,A10_4,10/31/2019 11:00,5,LGH,
Agnes,A10_4,11/1/2019 11:00,5,LGH,
Agnes,A10_4,11/2/2019 11:00,5,LGH,
Agnes,A10_4,11/3/2019 11:00,5,LGH,
Agnes,A10_4,11/4/2019 11:00,5,LGH,
Agnes,A10_4,11/5/2019 11:00,5,LGH,
Agnes,A10_4,11/6/2019 11:00,5,LGH,
Agnes,A10_4,11/7/2019 11:00,5,LGH,
Agnes,A10_4,11/8/2019 11:00,5,LGH,
Agnes,A10_4,11/9/2019 11:00,5,LGH,
Agnes,A10_4,11/10/2019 11:00,5,LGH,
Agnes,A10_4,11/11/2019 11:00,5,LGH,
Agnes,A10_4,11/12/2019 11:00,5,LGH,
Agnes,A10_4,11/13/2019 11:00,5,LGH,
Agnes,A10_4,11/14/2019 11:00,7,LGH,
Agnes,A10_4,11/15/2019 11:00,7,LGH,
Agnes,A10_4,11/16/2019 11:00,7,LGH,
Agnes,A10_4,11/17/2019 11:00,7,LGH,
Agnes,A10_4,11/18/2019 11:00,7,LGH,
Agnes,A10_4,11/19/2019 11:00,7,LGH,
Agnes,A10_4,11/20/2019 11:00,7,LGH,
Agnes,A10_4,11/21/2019 11:00,7,LGH,
Agnes,A10_4,11/22/2019 11:00,7,LGH,
Agnes,A10_4,11/23/2019 11:00,7,LGH,
Agnes,A10_4,11/24/2019 11:00,7,LGH,
Agnes,A10_4,11/25/2019 11:00,7,LGH,
Agnes,A10_4,11/26/2019 11:00,8,LGH,
Agnes,A10_4,11/27/2019 11:00,8,LGH,
Agnes,A10_4,11/28/2019 11:00,8,LGH,
Agnes,A10_4,11/29/2019 11:00,8,LGH,
Agnes,A10_4,11/30/2019 11:00,8,LGH,
Agnes,A10_4,12/1/2019 11:00,8,LGH,
Agnes,A10_4,12/2/2019 11:00,8,LGH,
Agnes,A10_4,12/3/2019 11:00,8,LGH,
Agnes,A10_4,12/4/2019 11:00,8,LGH,
Agnes,A10_4,12/5/2019 11:00,8,LGH,
Agnes,A10_4,12/6/2019 11:00,8,LGH,
Agnes,A10_4,12/7/2019 11:00,8,LGH,
Agnes,A10_4,12/8/2019 11:00,8,LGH,
Agnes,A10_4,12/9/2019 11:00,8,LGH,
Agnes,A10_4,12/10/2019 11:00,8,LGH,
Agnes,A10_4,12/11/2019 11:00,8,LGH,
Agnes,A10_4,12/12/2019 11:00,10,LGH,
Agnes,A10_4,12/13/2019 11:00,10,LGH,
Agnes,A10_4,12/14/2019 11:00,10,LGH,
Agnes,A10_4,12/15/2019 11:00,10,LGH,
Agnes,A10_4,12/16/2019 11:00,10,LGH,
Agnes,A10_4,12/17/2019 11:00,10,LGH,
Agnes,A10_4,12/18/2019 11:00,10,LGH,
Agnes,A10_4,12/19/2019 11:00,10,LGH,
Agnes,A10_4,12/20/2019 11:00,14,LGH,
Agnes,A10_4,12/21/2019 11:00,15,LGH,
Agnes,A10_4,12/22/2019 11:00,15,LGH,
Agnes,A10_4,12/23/2019 11:00,15,LGH,
Agnes,A10_4,12/24/2019 11:00,15,LGH,
Agnes,A10_4,12/25/2019 11:00,15,LGH,
Agnes,A10_4,12/26/2019 11:00,15,LGH,
Agnes,A10_4,12/27/2019 11:00,15,LGH,
Agnes,A10_4,12/28/2019 11:00,22,LGH,
Agnes,A10_4,12/29/2019 11:00,22,LGH,
Agnes,A10_4,12/30/2019 11:00,15,LGH,
Agnes,A10_4,12/31/2019 11:00,15,LGH,
Agnes,A10_4,1/1/2020 11:00,20,LGH,
Agnes,A10_4,1/2/2020 11:00,20,LGH,
Agnes,A10_4,1/3/2020 11:00,20,LGH,
Agnes,A10_4,1/4/2020 11:00,20,LGH,
Agnes,A10_4,1/5/2020 11:00,20,LGH,
Agnes,A10_4,1/6/2020 11:00,20,LGH,
Agnes,A10_4,1/7/2020 11:00,20,LGH,
Agnes,A10_4,1/8/2020 11:00,20,LGH,
Agnes,A10_4,1/9/2020 11:00,20,LGH,
Agnes,A10_4,1/10/2020 11:00,20,LGH,
Agnes,A10_4,1/11/2020 11:00,20,LGH,
Agnes,A10_4,1/12/2020 11:00,20,LGH,
Agnes,A10_4,1/13/2020 11:00,20,LGH,
Agnes,A10_4,1/14/2020 11:00,20,LGH,
Agnes,A10_4,1/15/2020 11:00,20,LGH,
Agnes,A10_4,1/16/2020 11:00,20,LGH,
Agnes,A10_4,1/17/2020 11:00,20,LGH,
Agnes,A10_4,1/18/2020 11:00,20,LGH,
Agnes,A10_4,1/19/2020 11:00,20,LGH,
Agnes,A10_4,1/20/2020 11:00,20,LGH,
Agnes,A10_4,1/21/2020 11:00,20,LGH,
Agnes,A10_4,1/22/2020 11:00,20,LGH,
Agnes,A10_4,1/23/2020 11:00,22,LGH,
Agnes,A10_4,1/24/2020 11:00,24,LGH,
Agnes,A10_4,1/25/2020 11:00,24,LGH,
Agnes,A10_4,1/26/2020 11:00,35,LGH,
Agnes,A10_4,1/27/2020 11:00,39,LGH,
Agnes,A10_4,1/28/2020 11:00,39,LGH,
Agnes,A10_4,1/29/2020 11:00,43,LGH,
Agnes,A10_4,1/30/2020 11:00,45,LGH,
Agnes,A10_4,1/31/2020 11:00,43,LGH,
Agnes,A10_4,2/1/2020 11:00,40,LGH,
Agnes,A10_4,2/2/2020 11:00,40,LGH,
Agnes,A10_4,2/3/2020 11:00,40,LGH,
Agnes,A10_4,2/4/2020 11:00,40,LGH,
Agnes,A10_4,2/5/2020 11:00,35,LGH,
Agnes,A10_4,2/6/2020 11:00,35,LGH,
Agnes,A10_4,2/7/2020 11:00,35,LGH,
Agnes,A10_4,2/8/2020 11:00,35,LGH,
Agnes,A10_4,2/9/2020 11:00,35,LGH,
Agnes,A10_4,2/10/2020 11:00,35,LGH,
Agnes,A10_4,2/11/2020 11:00,40,LGH,
Agnes,A10_4,2/12/2020 11:00,40,LGH,
Agnes,A10_4,2/13/2020 11:00,40,LGH,
Agnes,A10_4,2/14/2020 11:00,40,LGH,
Agnes,A10_4,2/15/2020 11:00,40,LGH,
Agnes,A10_4,2/16/2020 11:00,40,LGH,
Agnes,A10_4,2/17/2020 11:00,40,LGH,
Agnes,A10_4,2/18/2020 11:00,40,LGH,
Agnes,A10_4,2/19/2020 11:00,40,LGH,
Agnes,A10_4,2/20/2020 11:00,35,LGH,
Agnes,A10_4,2/21/2020 11:00,35,LGH,
Agnes,A10_4,2/22/2020 11:00,35,LGH,
Agnes,A10_4,2/23/2020 11:00,38,LGH,
Agnes,A10_4,2/24/2020 11:00,38,LGH,
Agnes,A10_4,2/25/2020 11:00,38,LGH,
Agnes,A10_4,2/26/2020 11:00,38,LGH,
Agnes,A10_4,2/27/2020 11:00,38,LGH,
Agnes,A10_4,2/28/2020 11:00,40,LGH,
Agnes,A10_4,2/29/2020 11:00,40,LGH,
Agnes,A10_4,3/1/2020 11:00,40,LGH,
Agnes,A10_4,3/2/2020 11:00,40,LGH,
Agnes,A10_4,3/3/2020 11:00,40,LGH,
Agnes,A10_4,3/4/2020 11:00,40,LGH,
Agnes,A10_4,3/5/2020 11:00,42,LGH,
Agnes,A10_4,3/6/2020 11:00,42,LGH,
Agnes,A10_4,3/7/2020 11:00,42,LGH,
Agnes,A10_4,3/8/2020 11:00,42,LGH,
Agnes,A10_4,3/9/2020 11:00,42,LGH,
Agnes,A10_4,3/10/2020 11:00,42,LGH,
Agnes,A10_4,3/11/2020 11:00,42,LGH,
Agnes,A10_4,3/12/2020 11:00,42,LGH,
Agnes,A10_4,3/13/2020 11:00,42,LGH,
Agnes,A10_4,3/14/2020 11:00,42,LGH,
Agnes,A10_4,3/15/2020 11:00,42,LGH,
Agnes,A10_4,3/16/2020 11:00,42,LGH,
Agnes,A10_4,3/17/2020 11:00,42,LGH,
Agnes,A10_4,3/18/2020 11:00,42,LGH,
Agnes,A10_4,3/19/2020 11:00,43,LGH,
Agnes,A10_4,3/20/2020 11:00,43,LGH,
Agnes,A10_4,3/21/2020 11:00,43,LGH,
Agnes,A10_4,3/22/2020 11:00,43,LGH,
Agnes,A10_4,3/23/2020 11:00,43,LGH,
Agnes,A10_4,3/24/2020 11:00,38,LGH,
Agnes,A10_4,3/25/2020 11:00,38,LGH,
Agnes,A10_4,3/26/2020 11:00,38,LGH,moose disturbed snow in front of stick-minus 5ish cm
Agnes,A10_4,3/27/2020 11:00,38,LGH,
Agnes,A10_4,3/28/2020 11:00,38,LGH,
Agnes,A10_4,3/29/2020 11:00,38,LGH,
Agnes,A10_4,3/30/2020 11:00,38,LGH,
Agnes,A10_4,3/31/2020 11:00,38,LGH,
Agnes,A10_4,4/1/2020 11:00,38,LGH,
Agnes,A10_4,4/2/2020 11:00,38,LGH,
Agnes,A10_4,4/3/2020 11:00,38,LGH,
Agnes,A10_4,4/4/2020 11:00,38,LGH,
Agnes,A10_4,4/5/2020 11:00,38,LGH,
Agnes,A10_4,4/6/2020 11:00,38,LGH,
Agnes,A10_4,4/7/2020 11:00,38,LGH,
Agnes,A10_4,4/8/2020 11:00,42,LGH,
Agnes,A10_4,4/9/2020 11:00,40,LGH,
Agnes,A10_4,4/10/2020 11:00,40,LGH,
Agnes,A10_4,4/11/2020 11:00,40,LGH,
Agnes,A10_4,4/12/2020 11:00,40,LGH,
Agnes,A10_4,4/13/2020 11:00,40,LGH,
Agnes,A10_4,4/14/2020 11:00,35,LGH,
Agnes,A10_4,4/15/2020 11:00,30,LGH,
Agnes,A10_4,4/16/2020 11:00,25,LGH,
Agnes,A10_4,4/17/2020 11:00,20,LGH,
Agnes,A10_4,4/18/2020 11:00,20,LGH,
Agnes,A10_4,4/19/2020 11:00,15,LGH,
Agnes,A10_4,4/20/2020 11:00,12,LGH,
Agnes,A10_4,4/21/2020 11:00,10,LGH,
Agnes,A10_4,4/22/2020 11:00,7,LGH,
Agnes,A10_4,4/23/2020 11:00,7,LGH,
Agnes,A10_4,4/24/2020 11:00,5,LGH,
Agnes,A10_4,4/25/2020 11:00,7,LGH,
Agnes,A10_4,4/26/2020 11:00,5,LGH,
Agnes,A10_4,4/27/2020 11:00,5,LGH,
Agnes,A10_4,4/28/2020 11:00,3,LGH,
Agnes,A10_4,4/29/2020 11:00,2,LGH,
Agnes,A10_4,4/30/2020 11:00,1,LGH,
Agnes,A10_4,10/1/2020 11:00,0,LGH,
Agnes,A10_4,10/2/2020 11:00,0,LGH,
Agnes,A10_4,10/3/2020 11:00,0,LGH,
Agnes,A10_4,10/4/2020 11:00,0,LGH,
Agnes,A10_4,10/5/2020 11:00,0,LGH,
Agnes,A10_4,10/6/2020 11:00,0,LGH,
Agnes,A10_4,10/7/2020 11:00,0,LGH,
Agnes,A10_4,10/8/2020 11:00,0,LGH,
Agnes,A10_4,10/9/2020 11:00,0,LGH,
Agnes,A10_4,10/10/2020 11:00,0,LGH,
Agnes,A10_4,10/11/2020 11:00,0,LGH,
Agnes,A10_4,10/12/2020 11:00,0,LGH,
Agnes,A10_4,10/13/2020 11:00,0,LGH,
Agnes,A10_4,10/14/2020 11:00,0,LGH,
Agnes,A10_4,10/15/2020 11:00,0,LGH,
Agnes,A10_4,10/16/2020 11:00,1,LGH,
Agnes,A10_4,10/17/2020 11:00,1,LGH,
Agnes,A10_4,10/18/2020 11:00,1,LGH,
Agnes,A10_4,10/19/2020 11:00,1,LGH,
Agnes,A10_4,10/20/2020 11:00,1,LGH,
Agnes,A10_4,10/21/2020 11:00,1,LGH,
Agnes,A10_4,10/22/2020 11:00,1,LGH,
Agnes,A10_4,10/23/2020 11:00,1,LGH,
Agnes,A10_4,10/24/2020 11:00,1,LGH,
Agnes,A10_4,10/25/2020 11:00,1,LGH,
Agnes,A10_4,10/26/2020 11:00,1,LGH,
Agnes,A10_4,10/27/2020 11:00,0,LGH,
Agnes,A10_4,10/28/2020 11:00,0,LGH,
Agnes,A10_4,10/29/2020 11:00,0,LGH,
Agnes,A10_4,10/30/2020 11:00,0.5,LGH,
Agnes,A10_4,10/31/2020 11:00,1,LGH,
Agnes,A10_4,11/1/2020 11:00,2,LGH,
Agnes,A10_4,11/2/2020 11:00,7,LGH,
Agnes,A10_4,11/3/2020 11:00,7,LGH,
Agnes,A10_4,11/4/2020 11:00,7,LGH,
Agnes,A10_4,11/5/2020 11:00,7,LGH,
Agnes,A10_4,11/6/2020 11:00,7,LGH,
Agnes,A10_4,11/7/2020 11:00,7,LGH,
Agnes,A10_4,11/8/2020 11:00,7,LGH,
Agnes,A10_4,11/9/2020 11:00,7,LGH,
Agnes,A10_4,11/10/2020 11:00,7,LGH,
Agnes,A10_4,11/11/2020 11:00,7,LGH,
Agnes,A10_4,11/12/2020 11:00,7,LGH,
Agnes,A10_4,11/13/2020 11:00,7,LGH,
Agnes,A10_4,11/14/2020 11:00,10,LGH,
Agnes,A10_4,11/15/2020 11:00,12,LGH,
Agnes,A10_4,11/16/2020 11:00,12,LGH,
Agnes,A10_4,11/17/2020 11:00,12,LGH,
Agnes,A10_4,11/18/2020 11:00,12,LGH,
Agnes,A10_4,11/19/2020 11:00,12,LGH,
Agnes,A10_4,11/20/2020 11:00,12,LGH,
Agnes,A10_4,11/21/2020 11:00,12,LGH,
Agnes,A10_4,11/22/2020 11:00,12,LGH,
Agnes,A10_4,11/23/2020 11:00,12,LGH,
Agnes,A10_4,11/24/2020 11:00,14,LGH,
Agnes,A10_4,11/25/2020 11:00,14,LGH,
Agnes,A10_4,11/26/2020 11:00,14,LGH,
Agnes,A10_4,11/27/2020 11:00,14,LGH,
Agnes,A10_4,11/28/2020 11:00,14,LGH,
Agnes,A10_4,11/29/2020 11:00,28,LGH,
Agnes,A10_4,11/30/2020 11:00,25,LGH,
Agnes,A10_4,12/1/2020 11:00,40,LGH,
Agnes,A10_4,12/2/2020 11:00,NA,LGH,snow blocking FOV
Agnes,A10_4,12/3/2020 11:00,NA,LGH,snow blocking FOV
Agnes,A10_4,12/4/2020 11:00,NA,LGH,snow blocking FOV
Agnes,A10_4,12/5/2020 11:00,NA,LGH,snow blocking FOV
Agnes,A10_4,12/6/2020 11:00,NA,LGH,snow blocking FOV
Agnes,A10_4,12/7/2020 11:00,NA,LGH,snow blocking FOV
Agnes,A10_4,12/8/2020 11:00,NA,LGH,snow blocking FOV
Agnes,A10_4,12/9/2020 11:00,NA,LGH,snow blocking FOV
Agnes,A10_4,12/10/2020 11:00,NA,LGH,snow blocking FOV
Agnes,A10_4,12/11/2020 11:00,NA,LGH,snow blocking FOV
Agnes,A10_4,12/12/2020 11:00,NA,LGH,snow blocking FOV
Agnes,A10_4,12/13/2020 11:00,NA,LGH,snow blocking FOV
Agnes,A10_4,12/14/2020 11:00,NA,LGH,snow blocking FOV
Agnes,A10_4,12/15/2020 11:00,NA,LGH,snow blocking FOV
Agnes,A10_4,12/16/2020 11:00,NA,LGH,snow blocking FOV
Agnes,A10_4,12/17/2020 11:00,NA,LGH,snow blocking FOV
Agnes,A10_4,12/18/2020 11:00,NA,LGH,snow blocking FOV
Agnes,A10_4,12/19/2020 11:00,NA,LGH,snow blocking FOV
Agnes,A10_4,12/20/2020 11:00,NA,LGH,snow blocking FOV
Agnes,A10_4,12/21/2020 11:00,NA,LGH,snow blocking FOV
Agnes,A10_4,12/22/2020 11:00,NA,LGH,snow blocking FOV
Agnes,A10_4,12/23/2020 11:00,NA,LGH,snow blocking FOV
Agnes,A10_4,12/24/2020 11:00,NA,LGH,snow blocking FOV
Agnes,A10_4,12/25/2020 11:00,NA,LGH,snow blocking FOV
Agnes,A10_4,12/26/2020 11:00,NA,LGH,snow blocking FOV
Agnes,A10_4,12/27/2020 11:00,NA,LGH,snow blocking FOV
Agnes,A10_4,12/28/2020 11:00,NA,LGH,snow blocking FOV
Agnes,A10_4,12/29/2020 11:00,NA,LGH,snow blocking FOV
Agnes,A10_4,12/30/2020 11:00,NA,LGH,snow blocking FOV
Agnes,A10_4,12/31/2020 11:00,NA,LGH,snow blocking FOV
Agnes,A10_4,1/1/2021 11:00,NA,LGH,snow blocking FOV
Agnes,A10_4,1/2/2021 11:00,NA,LGH,snow blocking FOV
Agnes,A10_4,1/3/2021 11:00,NA,LGH,snow blocking FOV
Agnes,A10_4,1/4/2021 11:00,NA,LGH,snow blocking FOV
Agnes,A10_4,1/5/2021 11:00,NA,LGH,snow blocking FOV
Agnes,A10_4,1/6/2021 11:00,NA,LGH,snow blocking FOV
Agnes,A10_4,1/7/2021 11:00,NA,LGH,snow blocking FOV
Agnes,A10_4,1/8/2021 11:00,NA,LGH,snow blocking FOV
Agnes,A10_4,1/9/2021 11:00,NA,LGH,snow blocking FOV
Agnes,A10_4,1/10/2021 11:00,NA,LGH,snow blocking FOV
Agnes,A10_4,1/11/2021 11:00,NA,LGH,snow blocking FOV
Agnes,A10_4,1/12/2021 11:00,NA,LGH,snow blocking FOV
Agnes,A10_4,1/13/2021 11:00,NA,LGH,snow blocking FOV
Agnes,A10_4,1/14/2021 11:00,NA,LGH,snow blocking FOV
Agnes,A10_4,1/15/2021 11:00,NA,LGH,snow blocking FOV
Agnes,A10_4,1/16/2021 11:00,NA,LGH,snow blocking FOV
Agnes,A10_4,1/17/2021 11:00,NA,LGH,snow blocking FOV
Agnes,A10_4,1/18/2021 11:00,NA,LGH,snow blocking FOV
Agnes,A10_4,1/19/2021 11:00,NA,LGH,snow blocking FOV
Agnes,A10_4,1/20/2021 11:00,NA,LGH,snow blocking FOV
Agnes,A10_4,1/21/2021 11:00,NA,LGH,snow blocking FOV
Agnes,A10_4,1/22/2021 11:00,NA,LGH,snow blocking FOV
Agnes,A10_4,1/23/2021 11:00,NA,LGH,snow blocking FOV
Agnes,A10_4,1/24/2021 11:00,NA,LGH,snow blocking FOV
Agnes,A10_4,1/25/2021 11:00,NA,LGH,snow blocking FOV
Agnes,A10_4,1/26/2021 11:00,NA,LGH,snow blocking FOV
Agnes,A10_4,1/27/2021 11:00,NA,LGH,snow blocking FOV
Agnes,A10_4,1/28/2021 11:00,NA,LGH,snow blocking FOV
Agnes,A10_4,1/29/2021 11:00,68,LGH,
Agnes,A10_4,1/30/2021 11:00,68,LGH,
Agnes,A10_4,1/31/2021 11:00,66,LGH,
Agnes,A10_4,2/1/2021 11:00,66,LGH,
Agnes,A10_4,2/2/2021 11:00,68,LGH,
Agnes,A10_4,2/3/2021 11:00,68,LGH,
Agnes,A10_4,2/4/2021 11:00,68,LGH,
Agnes,A10_4,2/5/2021 11:00,65,LGH,
Agnes,A10_4,2/6/2021 11:00,65,LGH,
Agnes,A10_4,2/7/2021 11:00,65,LGH,
Agnes,A10_4,2/8/2021 11:00,65,LGH,
Agnes,A10_4,2/9/2021 11:00,65,LGH,
Agnes,A10_4,2/10/2021 11:00,65,LGH,
Agnes,A10_4,2/11/2021 11:00,65,LGH,
Agnes,A10_4,2/12/2021 11:00,61,LGH,
Agnes,A10_4,2/13/2021 11:00,61,LGH,
Agnes,A10_4,2/14/2021 11:00,61,LGH,
Agnes,A10_4,2/15/2021 11:00,61,LGH,
Agnes,A10_4,2/16/2021 11:00,61,LGH,
Agnes,A10_4,2/17/2021 11:00,61,LGH,
Agnes,A10_4,2/18/2021 11:00,61,LGH,
Agnes,A10_4,2/19/2021 11:00,61,LGH,
Agnes,A10_4,2/20/2021 11:00,65,LGH,
Agnes,A10_4,2/21/2021 11:00,68,LGH,
Agnes,A10_4,2/22/2021 11:00,67,LGH,
Agnes,A10_4,2/23/2021 11:00,67,LGH,
Agnes,A10_4,2/24/2021 11:00,67,LGH,
Agnes,A10_4,2/25/2021 11:00,82,LGH,
Agnes,A10_4,2/26/2021 11:00,82,LGH,
Agnes,A10_4,2/27/2021 11:00,80,LGH,
Agnes,A10_4,2/28/2021 11:00,102,LGH,
Agnes,A10_4,3/1/2021 11:00,102,LGH,
Agnes,A10_4,3/2/2021 11:00,102,LGH,
Agnes,A10_4,3/3/2021 11:00,95,LGH,
Agnes,A10_4,3/4/2021 11:00,102,LGH,
Agnes,A10_4,3/5/2021 11:00,102,LGH,
Agnes,A10_4,3/6/2021 11:00,95,LGH,
Agnes,A10_4,3/7/2021 11:00,95,LGH,
