DATE,DSF,OPEN SD,COMMENTS
10-Feb-15,NA,NA,*didn’t measure Jo first year… no collared hares
11-Feb-15,NA,NA,
12-Feb-15,NA,NA,
13-Feb-15,NA,NA,
14-Feb-15,NA,NA,
15-Feb-15,NA,NA,
16-Feb-15,NA,NA,
17-Feb-15,NA,NA,
18-Feb-15,NA,NA,
19-Feb-15,NA,NA,
20-Feb-15,NA,NA,
21-Feb-15,NA,NA,
22-Feb-15,NA,NA,
23-Feb-15,NA,NA,
24-Feb-15,NA,NA,
25-Feb-15,NA,NA,
26-Feb-15,NA,NA,
27-Feb-15,NA,NA,
28-Feb-15,NA,NA,
01-Mar-15,NA,NA,
02-Mar-15,NA,NA,
03-Mar-15,NA,NA,
04-Mar-15,NA,NA,
05-Mar-15,NA,NA,
06-Mar-15,NA,NA,
07-Mar-15,NA,NA,
08-Mar-15,NA,NA,
09-Mar-15,NA,NA,
10-Mar-15,NA,NA,
11-Mar-15,NA,NA,
12-Mar-15,NA,NA,
13-Mar-15,NA,NA,
14-Mar-15,NA,NA,
15-Mar-15,NA,NA,
16-Mar-15,NA,NA,
17-Mar-15,NA,NA,
18-Mar-15,NA,NA,
19-Mar-15,NA,NA,
20-Mar-15,NA,NA,
21-Mar-15,NA,NA,
22-Mar-15,NA,NA,
23-Mar-15,NA,NA,
24-Mar-15,NA,NA,
25-Mar-15,NA,NA,
26-Mar-15,NA,NA,
27-Mar-15,NA,NA,
28-Mar-15,NA,NA,
29-Mar-15,NA,NA,
30-Mar-15,NA,NA,
31-Mar-15,NA,NA,
01-Apr-15,NA,NA,
02-Apr-15,NA,NA,
03-Apr-15,NA,NA,
04-Apr-15,NA,NA,
05-Apr-15,NA,NA,
06-Apr-15,NA,NA,
07-Apr-15,NA,NA,
08-Apr-15,NA,NA,
09-Apr-15,NA,NA,
10-Apr-15,NA,NA,
11-Apr-15,NA,NA,
12-Apr-15,NA,NA,
13-Apr-15,NA,NA,
14-Apr-15,NA,NA,
15-Apr-15,NA,NA,
16-Apr-15,NA,NA,
17-Apr-15,NA,NA,
18-Apr-15,NA,NA,
19-Apr-15,NA,NA,
20-Apr-15,NA,NA,
21-Apr-15,NA,NA,
22-Apr-15,NA,NA,
23-Apr-15,NA,NA,
24-Apr-15,NA,NA,
25-Apr-15,NA,NA,
26-Apr-15,NA,NA,
27-Apr-15,0,0,
28-Apr-15,0,0,
29-Apr-15,0,0,
30-Apr-15,0,0,
01-May-15,0,0,
02-May-15,0,0,
03-May-15,0,0,
04-May-15,0,0,
05-May-15,0,0,
06-May-15,0,0,
07-May-15,0,0,
08-May-15,0,0,
09-May-15,0,0,
10-May-15,0,0,
11-May-15,0,0,
12-May-15,0,0,
13-May-15,0,0,
14-May-15,0,0,
15-May-15,0,0,
16-May-15,0,0,
17-May-15,0,0,
18-May-15,0,0,
19-May-15,0,0,
20-May-15,0,0,
21-May-15,0,0,
22-May-15,0,0,
23-May-15,0,0,
24-May-15,0,0,
25-May-15,0,0,
26-May-15,0,0,
27-May-15,0,0,
28-May-15,0,0,
29-May-15,0,0,
30-May-15,0,0,
31-May-15,0,0,
01-Jun-15,0,0,
02-Jun-15,0,0,
03-Jun-15,0,0,
04-Jun-15,0,0,
05-Jun-15,0,0,
06-Jun-15,0,0,
07-Jun-15,0,0,
08-Jun-15,0,0,
09-Jun-15,0,0,
10-Jun-15,0,0,
11-Jun-15,0,0,
12-Jun-15,0,0,
13-Jun-15,0,0,
14-Jun-15,0,0,
15-Jun-15,0,0,
16-Jun-15,0,0,
17-Jun-15,0,0,
18-Jun-15,0,0,
19-Jun-15,0,0,
20-Jun-15,0,0,
21-Jun-15,0,0,
22-Jun-15,0,0,
23-Jun-15,0,0,
24-Jun-15,0,0,
25-Jun-15,0,0,
26-Jun-15,0,0,
27-Jun-15,0,0,
28-Jun-15,0,0,
29-Jun-15,0,0,
30-Jun-15,0,0,
01-Jul-15,0,0,
02-Jul-15,0,0,
03-Jul-15,0,0,
04-Jul-15,0,0,
05-Jul-15,0,0,
06-Jul-15,0,0,
07-Jul-15,0,0,
08-Jul-15,0,0,
09-Jul-15,0,0,
10-Jul-15,0,0,
11-Jul-15,0,0,
12-Jul-15,0,0,
13-Jul-15,0,0,
14-Jul-15,0,0,
15-Jul-15,0,0,
16-Jul-15,0,0,
17-Jul-15,0,0,
18-Jul-15,0,0,
19-Jul-15,0,0,
20-Jul-15,0,0,
21-Jul-15,0,0,
22-Jul-15,0,0,
23-Jul-15,0,0,
24-Jul-15,0,0,
25-Jul-15,0,0,
26-Jul-15,0,0,
27-Jul-15,0,0,
28-Jul-15,0,0,
29-Jul-15,0,0,
30-Jul-15,0,0,
31-Jul-15,0,0,
01-Aug-15,0,0,
02-Aug-15,0,0,
03-Aug-15,0,0,
04-Aug-15,0,0,
05-Aug-15,0,0,
06-Aug-15,0,0,
07-Aug-15,0,0,
08-Aug-15,0,0,
09-Aug-15,0,0,
10-Aug-15,0,0,
11-Aug-15,0,0,
12-Aug-15,0,0,
13-Aug-15,0,0,
14-Aug-15,0,0,
15-Aug-15,0,0,
16-Aug-15,0,0,
17-Aug-15,0,0,
18-Aug-15,0,0,
19-Aug-15,0,0,
20-Aug-15,0,0,
21-Aug-15,0,0,
22-Aug-15,0,0,
23-Aug-15,0,0,
24-Aug-15,0,0,
25-Aug-15,0,0,
26-Aug-15,0,0,
27-Aug-15,0,0,
28-Aug-15,0,0,
29-Aug-15,0,0,
30-Aug-15,0,0,
31-Aug-15,0,0,
01-Sep-15,0,0,
02-Sep-15,0.5,0.5,* from Mel
03-Sep-15,0,0,
04-Sep-15,0,0,
05-Sep-15,0,0,
06-Sep-15,0,0,
07-Sep-15,0,0,
08-Sep-15,0,0,
