"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2018-01-01","2018","01","01","","-1.6","","-28.1","","-14.9","","32.9","","0.0","","","M","","M","0.0","","2","","9","","59",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2018-01-02","2018","01","02","","6.4","","-1.8","","2.3","","15.7","","0.0","","","M","","M","0.0","","2","","16","","72",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2018-01-03","2018","01","03","","0.8","","-14.2","","-6.7","","24.7","","0.0","","","M","","M","0.0","","2","","14","","52",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2018-01-04","2018","01","04","","-8.7","","-21.6","","-15.2","","33.2","","0.0","","","M","","M","0.8","","2","","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2018-01-05","2018","01","05","","-8.1","","-18.0","","-13.1","","31.1","","0.0","","","M","","M","1.7","","5","","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2018-01-06","2018","01","06","","-10.7","","-23.2","","-17.0","","35.0","","0.0","","","M","","M","0.0","","5","","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2018-01-07","2018","01","07","","-14.6","","-26.7","","-20.7","","38.7","","0.0","","","M","","M","0.0","","5","","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2018-01-08","2018","01","08","","-13.5","","-17.0","","-15.3","","33.3","","0.0","","","M","","M","0.2","","4","","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2018-01-09","2018","01","09","","-16.9","","-38.1","","-27.5","","45.5","","0.0","","","M","","M","0.2","","4","","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2018-01-10","2018","01","10","","-22.7","","-37.5","","-30.1","","48.1","","0.0","","","M","","M","0.0","","4","","11","","44",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2018-01-11","2018","01","11","","-23.3","","-37.3","","-30.3","","48.3","","0.0","","","M","","M","0.0","","5","","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2018-01-12","2018","01","12","","-18.0","","-28.1","","-23.1","","41.1","","0.0","","","M","","M","0.0","","5","","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2018-01-13","2018","01","13","","-1.0","","-26.5","","-13.8","","31.8","","0.0","","","M","","M","0.2","","5","","11","","76",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2018-01-14","2018","01","14","","4.4","","-2.8","","0.8","","17.2","","0.0","","","M","","M","0.6","","2","","12","","78",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2018-01-15","2018","01","15","","7.3","","2.2","","4.8","","13.2","","0.0","","","M","","M","0.0","","0","T","13","","69",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2018-01-16","2018","01","16","","5.6","","-3.6","","1.0","","17.0","","0.0","","","M","","M","0.0","","0","T","11","","65",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2018-01-17","2018","01","17","","2.0","","-13.7","","-5.9","","23.9","","0.0","","","M","","M","0.0","","0","T","12","","57",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2018-01-18","2018","01","18","","-7.3","","-21.1","","-14.2","","32.2","","0.0","","","M","","M","0.0","","0","T","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2018-01-19","2018","01","19","","-12.6","","-22.5","","-17.6","","35.6","","0.0","","","M","","M","0.0","","0","T","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2018-01-20","2018","01","20","","-12.0","","-14.6","","-13.3","","31.3","","0.0","","","M","","M","0.0","","0","T","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2018-01-21","2018","01","21","","-13.1","","-15.8","","-14.5","","32.5","","0.0","","","M","","M","0.0","","0","T","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2018-01-22","2018","01","22","","-15.8","","-19.7","","-17.8","","35.8","","0.0","","","M","","M","0.0","","0","T","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2018-01-23","2018","01","23","","-17.6","","-22.0","","-19.8","","37.8","","0.0","","","M","","M","0.0","","0","T","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2018-01-24","2018","01","24","","-19.9","","-22.4","","-21.2","","39.2","","0.0","","","M","","M","0.0","","1","","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2018-01-25","2018","01","25","","-21.9","","-23.8","","-22.9","","40.9","","0.0","","","M","","M","0.0","","1","","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2018-01-26","2018","01","26","","-22.7","","-30.8","","-26.8","","44.8","","0.0","","","M","","M","0.0","","1","","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2018-01-27","2018","01","27","","-19.6","","-30.3","","-25.0","","43.0","","0.0","","","M","","M","0.0","","1","","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2018-01-28","2018","01","28","","-17.8","","-31.1","","-24.5","","42.5","","0.0","","","M","","M","0.0","","1","","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2018-01-29","2018","01","29","","-17.7","","-20.9","","-19.3","","37.3","","0.0","","","M","","M","1.3","","2","","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2018-01-30","2018","01","30","","-19.2","","-24.4","","-21.8","","39.8","","0.0","","","M","","M","0.2","","2","","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2018-01-31","2018","01","31","","-20.1","","-25.8","","-23.0","","41.0","","0.0","","","M","","M","0.2","","3","","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2018-02-01","2018","02","01","","","M","-38.1","E","","M","","M","","M","","M","","M","","M","3","","","M","","M"
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2018-02-02","2018","02","02","","-25.3","","-40.0","","-32.7","","50.7","","0.0","","","M","","M","0.0","","3","","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2018-02-03","2018","02","03","","-23.9","","-40.0","","-32.0","","50.0","","0.0","","","M","","M","0.2","","3","","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2018-02-04","2018","02","04","","-22.4","","-39.3","","-30.9","","48.9","","0.0","","","M","","M","0.0","","3","","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2018-02-05","2018","02","05","","-19.8","","-35.6","","-27.7","","45.7","","0.0","","","M","","M","0.0","","3","","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2018-02-06","2018","02","06","","-19.9","","-31.9","","-25.9","","43.9","","0.0","","","M","","M","0.0","","3","","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2018-02-07","2018","02","07","","-21.2","","-27.4","","-24.3","","42.3","","0.0","","","M","","M","0.2","","3","","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2018-02-08","2018","02","08","","-18.6","","-33.9","","-26.3","","44.3","","0.0","","","M","","M","0.0","","3","","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2018-02-09","2018","02","09","","-16.7","","-35.2","","-26.0","","44.0","","0.0","","","M","","M","0.0","","3","","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2018-02-10","2018","02","10","","-11.6","","-31.9","","-21.8","","39.8","","0.0","","","M","","M","0.0","","3","","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2018-02-11","2018","02","11","","-10.5","","-32.5","","-21.5","","39.5","","0.0","","","M","","M","0.0","","3","","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2018-02-12","2018","02","12","","-1.4","","-15.8","","-8.6","","26.6","","0.0","","","M","","M","0.0","","3","","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2018-02-13","2018","02","13","","-3.4","","-12.3","","-7.9","","25.9","","0.0","","","M","","M","3.6","","6","","28","","41",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2018-02-14","2018","02","14","","-6.0","","-22.9","","-14.5","","32.5","","0.0","","","M","","M","0.0","","6","","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2018-02-15","2018","02","15","","-4.6","","-15.5","","-10.1","","28.1","","0.0","","","M","","M","4.6","","6","","29","","48",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2018-02-16","2018","02","16","","-7.7","","-23.4","","-15.6","","33.6","","0.0","","","M","","M","0.2","","13","","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2018-02-17","2018","02","17","","-6.9","","-29.0","","-18.0","","36.0","","0.0","","","M","","M","0.0","","13","","29","","35",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2018-02-18","2018","02","18","","-8.6","","-25.7","","-17.2","","35.2","","0.0","","","M","","M","0.0","","13","","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2018-02-19","2018","02","19","","-2.0","","-14.8","","-8.4","","26.4","","0.0","","","M","","M","0.8","","12","","","","<31",""
