Num,Beaker,Beaker_mass,Vial,DM_sample_mass,Post_Dry_wbeaker,Post_Ash_wbeaker,DM,Ash
1,121,14.3192,1583,0.4354,14.7217,14.346,0.924437299,0.061552595
2,122,14.2176,1743,0.4457,14.6382,14.2879,0.943684092,0.157729414
3,123,14.4111,1621,0.3608,14.7488,14.5072,0.93597561,0.26635255
4,124,14.3035,2536,0.3221,14.607,14.3172,0.942253958,0.042533375
5,125,14.3135,1580,0.634,14.9155,14.4684,0.949526814,0.244321767
6,126,14.0897,1601,0.4613,14.5119,14.1187,0.91523954,0.062865814
7,127,14.3785,1417,0.4303,14.7857,14.4014,0.946316523,0.053218685
8,128,14.5117,1695,0.4011,14.8841,14.5777,0.928446771,0.164547494
9,129,14.4569,2527,0.337,14.7804,14.5128,0.959940653,0.165875371
10,130,14.4095,1672,0.4238,14.8031,14.4464,0.928739972,0.087069372
11,131,14.124,2523,0.3106,14.4192,14.1591,0.950418545,0.113007083
12,132,14.4372,1701,0.4762,14.8787,14.4596,0.927131457,0.047039059
13,133,14.1669,2508,0.3838,14.5229,14.1834,0.927566441,0.042991141
14,134,14.1555,2500,0.44,14.5764,14.1916,0.956590909,0.082045455
15,135,14.3913,1731,0.3907,14.7553,14.4071,0.931661121,0.040440235
16,136,14.1319,1711,0.4651,14.5617,14.1963,0.924102344,0.138464846
17,137,14.3596,2520,0.4522,14.7779,14.3864,0.925033171,0.059265812
18,138,14.385,2516,0.468,14.8203,14.4285,0.930128205,0.092948718
19,139,14.155,1588,0.0597,14.2081,14.158,0.889447236,0.050251256
20,140,14.4931,1733,0.464,14.9277,14.5733,0.936637931,0.172844828
21,141,14.3039,2435,0.4957,14.7772,14.3722,0.954811378,0.137784951
22,142,14.4668,1725,0.4532,14.8886,14.4927,0.930714916,0.057149162
23,143,14.211,2494,0.4856,14.6682,14.3318,0.941515651,0.248764415
24,144,14.4535,1715,0.4699,14.8929,14.4682,0.935092573,0.031283252
25,145,14.3507,1558,0.5563,14.8815,14.4247,0.954161424,0.133021751
26,146,14.3552,2470,0.5297,14.8639,14.4412,0.960354918,0.162356051
27,147,14.3791,1742,0.4514,14.7954,14.3973,0.922241914,0.040319008
28,148,14.2476,1706,0.4386,14.6504,14.2807,0.918376653,0.075467396
29,149,14.0799,1720,0.4563,14.4961,14.1062,0.91211922,0.057637519
30,150,14.3575,1687,0.5277,14.8491,14.483,0.931589919,0.237824522
31,151,14.4235,1697,0.4537,14.8458,14.4391,0.930791272,0.034383954
32,152,14.3475,1566,0.5467,14.8687,14.4429,0.953356503,0.174501555
33,153,14.479,1597,0.4427,14.8869,14.4936,0.921391461,0.032979444
34,154,14.3619,1573,0.6876,14.9958,14.4238,0.921902269,0.090023269
35,155,14.4803,2419,0.4411,14.9015,14.5466,0.954885513,0.150306053
36,156,14.4268,1669,0.3134,14.715,14.4468,0.919591576,0.063816209
37,157,14.4005,1581,0.4436,14.8165,14.4241,0.937781785,0.053201082
38,158,14.2079,1722,0.5066,14.6836,14.3103,0.939005132,0.202131859
39,159,14.271,1699,0.5275,14.7644,14.3755,0.93535545,0.198104265
40,160,14.4368,2490,0.5031,14.9122,14.5237,0.944941364,0.17272908
41,161,14.3404,1713,0.4272,14.7393,14.3623,0.933754682,0.051264045
42,162,14.5338,1582,0.4758,14.9844,14.5571,0.94703657,0.048970156
43,163,14.3925,1732,0.3534,14.7157,14.4186,0.914544426,0.07385399
44,164,14.3604,2467,0.3908,14.729,14.3729,0.943193449,0.03198567
45,165,14.4834,2540,0.4043,14.8667,14.4974,0.948058372,0.034627752
46,166,14.491,1571,0.4063,14.8675,14.522,0.926655181,0.076298302
47,167,14.4615,1710,0.4348,14.8624,14.5749,0.922033119,0.260809568
48,168,14.3897,2499,0.409,14.7775,14.4102,0.948166259,0.050122249
49,169,14.1602,2468,0.6206,14.7576,14.308,0.962616822,0.238156623
50,170,14.4288,2447,0.3922,14.8025,14.4536,0.952830189,0.063233044
51,171,14.4158,2495,0.4554,14.8429,14.4328,0.937856829,0.03732982
52,172,14.2509,2489,0.5119,14.7228,14.2797,0.921859738,0.056260988
53,173,14.4067,2539,0.4475,14.8285,14.436,0.942569832,0.06547486
54,174,14.2134,2381,0.4674,14.6397,14.2294,0.912066752,0.034231921
55,175,14.3871,2476,0.3747,14.7383,14.4069,0.93728316,0.052842274
56,176,14.4091,2453,0.4902,14.8663,14.438,0.932680539,0.058955528
57,177,14.1156,2423,0.6875,14.7735,14.3055,0.956945455,0.276218182
58,178,14.3338,1698,0.3957,14.7195,14.3599,0.97472833,0.06595906
59,179,14.4252,1577,0.4525,14.8666,14.4508,0.975469613,0.056574586
60,180,14.558,1609,0.4565,15.0037,14.5743,0.976341731,0.035706462
61,181,14.4213,1734,0.4907,14.9006,14.4956,0.976767883,0.151416344
62,182,14.114,2601,0.5448,14.6476,14.2135,0.979441997,0.18263583
63,183,14.4185,2615,0.4094,14.8134,14.4338,0.964582316,0.037371764
64,184,14.3075,2620,0.5506,14.8441,14.5203,0.974573193,0.386487468
65,185,14.3764,1624,0.4396,14.806,14.4561,0.977252047,0.181301183
66,186,14.4631,1592,0.3791,14.8328,14.4878,0.975204432,0.065154313
67,187,14.4038,2642,0.5267,14.9207,14.511,0.981393583,0.203531422
68,188,14.2088,1618,0.4168,14.6152,14.24,0.975047985,0.074856046
69,189,14.4031,1591,0.4482,14.8387,14.4235,0.97188755,0.045515395
70,190,14.3571,2645,0.5406,14.8866,14.5273,0.979467259,0.314835368
71,191,14.5014,1598,0.4275,14.8976,14.5975,0.926783626,0.224795322
72,192,14.2965,2582,0.4695,14.7554,14.4015,0.97742279,0.223642173
73,193,14.4717,2608,0.4899,14.9342,14.4979,0.944070218,0.053480302
74,194,14.4516,1606,0.4239,14.8655,14.4873,0.976409531,0.084217976
75,195,14.4069,1723,0.374,14.7731,14.4219,0.979144385,0.040106952
76,196,14.387,2573,0.5505,14.9259,14.5725,0.978928247,0.336966394
77,197,14.339,1605,0.6087,14.9318,14.5121,0.973878758,0.28437654
78,198,14.2216,1572,0.5121,14.7236,14.3572,0.98027729,0.264792033
79,199,14.4902,1703,0.5619,15.0413,14.6629,0.980779498,0.307350062
80,200,14.4117,2648,0.3481,14.7486,14.4256,0.967825338,0.039931054
81,201,14.4583,1589,0.6055,15.0431,14.6187,0.965813377,0.264905037
82,202,14.2662,1543,0.584,14.8299,14.4465,0.965239726,0.308732877
83,203,14.3017,2593,0.6826,14.9741,14.5967,0.985057134,0.43217111
84,1,14.1494,738,0.3452,14.4773,14.1696,0.949884125,0.058516802
85,2,14.3774,588,0.3338,14.6433,14.3998,0.796584781,0.067106052
86,3,14.4126,578,0.4157,14.7406,14.4444,0.789030551,0.076497474
87,4,14.3881,572,0.4409,14.7748,14.4182,0.87706963,0.068269449
88,5,14.3251,742,0.3202,14.5841,14.3557,0.808869457,0.095565272
89,6,14.2859,1718,0.3406,14.6124,14.3391,0.958602466,0.15619495
90,7,14.2248,593,0.5019,14.6725,14.26,0.892010361,0.070133493
91,8,14.4191,581,0.5384,14.8575,14.4661,0.814264487,0.087295691
92,9,14.3952,579,0.3021,14.6816,14.4039,0.948030453,0.028798411
93,10,14.4976,583,0.3387,14.8034,14.5299,0.902863891,0.095364629
94,11,14.1615,594,0.3403,14.4424,14.1874,0.825448134,0.076109315
95,12,14.2178,1619,0.4165,14.5461,14.2885,0.788235294,0.169747899
96,13,14.1468,2611,0.2639,14.3846,14.1633,0.901098901,0.062523683
97,14,14.1791,734,0.5529,14.6377,14.2113,0.829444746,0.058238379
98,15,14.1858,557,0.5925,14.6557,14.2356,0.793080169,0.084050633
99,16,14.175,574,0.387,14.5436,14.2239,0.95245478,0.126356589
100,17,14.1538,1702,0.3481,14.4872,14.1778,0.957770756,0.068945705
101,18,14.3039,587,0.3781,14.6538,14.3152,0.925416556,0.029886273
102,19,14.1342,739,0.5775,14.6601,14.2145,0.910649351,0.139047619
103,20,14.3384,1622,0.4431,14.7437,14.7437,0.914691943,0.914691943
104,21,14.2645,729,0.317,14.5643,14.291,0.945741325,0.083596215
105,22,14.4446,578,0.3796,14.7653,14.4626,0.84483667,0.047418335
106,23,14.2624,556,0.4847,14.7205,14.3433,0.945120693,0.166907365
107,24,14.2914,2291,0.4342,14.7072,14.3433,0.957623215,0.11953017
108,25,14.3169,2652,0.3132,14.5662,14.3333,0.795977011,0.052362708
109,26,14.2006,576,0.4529,14.6117,14.2597,0.907705895,0.130492382
110,27,14.4917,725,0.4168,14.8315,14.519,0.815259117,0.06549904
111,28,14.269,1477,0.481,14.6969,14.3745,0.88960499,0.219334719
112,29,14.2162,611,0.1944,14.3999,14.2326,0.944958848,0.08436214
113,30,14.1999,602,0.317,14.4811,14.214,0.887066246,0.044479495
114,31,14.3403,559,0.5641,14.7677,14.3883,0.75766708,0.085091296
115,32,14.2549,772,0.5298,14.7131,14.2975,0.864854662,0.080407701
116,33,14.3902,614,0.4698,14.8228,14.4296,0.920817369,0.083865475
117,34,14.3536,609,0.5497,14.8792,14.4233,0.956157904,0.126796434
118,35,14.3837,554,0.5508,14.8438,14.4406,0.835330428,0.103304285
119,36,14.3129,575,0.5414,14.6902,14.3282,0.696896934,0.028260066
120,37,14.1646,2603,0.4618,14.4455,14.1824,0.608271979,0.038544825
121,38,14.2776,1729,0.5327,14.7872,14.3335,0.956636005,0.104937113
122,39,14.122,590,0.5221,14.5565,14.1648,0.832216051,0.081976633
123,40,14.2943,2640,0.4963,14.6924,14.3357,0.802135805,0.083417288
124,41,14.3241,2644,0.4588,14.6848,14.3761,0.786181343,0.113339146
125,42,14.1903,1708,0.42,14.5923,14.2496,0.957142857,0.141190476
126,43,14.281,585,0.4447,14.6435,14.3013,0.815156285,0.045648752
127,44,14.2429,582,0.564,14.7835,14.3234,0.958510638,0.142730496
128,45,14.2794,612,0.4595,14.695,14.3475,0.904461371,0.14820457
129,46,14.2745,1614,0.5121,14.6565,14.2942,0.745948057,0.038469049
130,47,14.227,600,0.4478,14.6048,14.2474,0.843680214,0.045556052
131,48,14.3058,1700,0.514,14.7988,14.3537,0.959143969,0.093190661
132,49,14.28,575,0.4265,14.6887,14.3535,0.958264947,0.172332943
133,50,14.3267,702,0.518,14.8148,14.3715,0.942277992,0.086486486
