grid,week,dateCap,Observers,Eartag,Fate_1,Weight,Sex,Repro_Male,Repro_Fem,Hindfoot,Fate_2,RHF_2,Weight_2,Fate_3,Weight_3,Fate_4,Weight_4,Maturity,Comments
Chitty,2135,10-Apr-2018,"Charles Krebs, Alice Kenney, Heather Sterling, Rachael Ryan, Stella Sortella",25057,1,1250,1,1,0,137,1,0,1345,1,1400,0,0,Adult,"got new collar on day 1, day 2 rc on, day 3 trap tripped by lynx,bloody foot, hare ok"
Chitty,2135,10-Apr-2018,"Charles Krebs, Alice Kenney, Heather Sterling, Rachael Ryan, Stella Sortella",24700,1,1330,2,0,1,137,1,0,1370,0,0,0,0,Adult,
Chitty,2135,10-Apr-2018,"Charles Krebs, Alice Kenney, Heather Sterling, Rachael Ryan, Stella Sortella",25234,1,1480,1,1,0,142,1,0,1460,1,1395,0,0,Adult,"trap rolled and dragged 10 ft early last night, hare not touched"
Chitty,2135,10-Apr-2018,"Charles Krebs, Alice Kenney, Heather Sterling, Rachael Ryan, Stella Sortella",24811,1,1450,1,1,0,139,1,0,1420,1,1420,0,0,Adult,80% white on third check
Chitty,2135,10-Apr-2018,"Charles Krebs, Alice Kenney, Heather Sterling, Rachael Ryan, Stella Sortella",23890,1,1460,2,0,1,138,1,0,1480,1,1460,0,0,Adult,
Chitty,2135,10-Apr-2018,"Charles Krebs, Alice Kenney, Heather Sterling, Rachael Ryan, Stella Sortella",24810,1,1570,2,0,1,142,1,0,1560,0,0,0,0,Adult,
Chitty,2135,10-Apr-2018,"Charles Krebs, Alice Kenney, Heather Sterling, Rachael Ryan, Stella Sortella",25056,1,1260,1,1,0,133,1,0,1230,1,1260,0,0,Adult,
Chitty,2135,10-Apr-2018,"Charles Krebs, Alice Kenney, Heather Sterling, Rachael Ryan, Stella Sortella",25055,1,1500,2,0,1,135,1,0,1490,1,1450,0,0,Adult,
Chitty,2135,10-Apr-2018,"Charles Krebs, Alice Kenney, Heather Sterling, Rachael Ryan, Stella Sortella",24435,1,1295,1,1,0,137,1,0,1245,1,1265,0,0,Adult,
Chitty,2135,10-Apr-2018,"Charles Krebs, Alice Kenney, Heather Sterling, Rachael Ryan, Stella Sortella",25051,1,1260,1,1,0,129,1,0,1250,1,1280,0,0,Adult,
Chitty,2135,10-Apr-2018,"Charles Krebs, Alice Kenney, Heather Sterling, Rachael Ryan, Stella Sortella",24170,2,1400,2,0,1,140,1,0,1300,1,1500,0,0,Adult,
Chitty,2135,10-Apr-2018,"Charles Krebs, Alice Kenney, Heather Sterling, Rachael Ryan, Stella Sortella",24593,1,1520,2,0,1,143,1,0,1570,1,1530,0,0,Adult,
Chitty,2135,10-Apr-2018,"Charles Krebs, Alice Kenney, Heather Sterling, Rachael Ryan, Stella Sortella",23821,1,1410,2,0,1,128,1,0,1400,1,1400,0,0,Adult,
Chitty,2135,10-Apr-2018,"Charles Krebs, Alice Kenney, Heather Sterling, Rachael Ryan, Stella Sortella",25231,1,1350,1,1,0,138,0,0,0,0,0,0,0,Adult,lynx attack but ok
Chitty,2135,10-Apr-2018,"Charles Krebs, Alice Kenney, Heather Sterling, Rachael Ryan, Stella Sortella",24171,2,1280,2,0,1,133,0,0,0,0,0,0,0,Adult,
Chitty,2135,10-Apr-2018,"Charles Krebs, Alice Kenney, Heather Sterling, Rachael Ryan, Stella Sortella",24590,1,1585,2,0,1,144,0,0,0,0,0,0,0,Adult,
Chitty,2135,10-Apr-2018,"Charles Krebs, Alice Kenney, Heather Sterling, Rachael Ryan, Stella Sortella",24834,1,1350,2,0,1,138,0,0,0,0,0,0,0,Adult,
Chitty,2135,10-Apr-2018,"Charles Krebs, Alice Kenney, Heather Sterling, Rachael Ryan, Stella Sortella",24530,1,1480,2,0,1,128,1,0,1370,1,1430,0,0,Adult,
Chitty,2135,10-Apr-2018,"Charles Krebs, Alice Kenney, Heather Sterling, Rachael Ryan, Stella Sortella",25095,2,1120,2,0,1,120,0,0,0,0,0,0,0,Adult,
Chitty,2135,10-Apr-2018,"Charles Krebs, Alice Kenney, Heather Sterling, Rachael Ryan, Stella Sortella",25096,2,1550,2,0,1,138,1,0,1480,0,0,0,0,Adult,"large gash between eyes, looks fresh; ripped ear, may have been previously eartagged so tagged the left ear"
Chitty,2135,10-Apr-2018,"Charles Krebs, Alice Kenney, Heather Sterling, Rachael Ryan, Stella Sortella",25097,2,1500,1,1,0,141,1,0,1430,0,0,0,0,Adult,
Chitty,2135,10-Apr-2018,"Charles Krebs, Alice Kenney, Heather Sterling, Rachael Ryan, Stella Sortella",24105,1,1570,1,1,0,133,0,0,0,0,0,0,0,Adult,"attacked by lynx, trapped rolled, bunny screamed when approached and upon release bunny was very lethargic..slowly got up and sat there breathing heavily for 5 minutes then slowly hopped away"
Chitty,2135,10-Apr-2018,"Charles Krebs, Alice Kenney, Heather Sterling, Rachael Ryan, Stella Sortella",25001,1,1220,2,0,1,133,0,0,0,0,0,0,0,Adult,
Chitty,2135,10-Apr-2018,"Charles Krebs, Alice Kenney, Heather Sterling, Rachael Ryan, Stella Sortella",24110,1,1500,1,1,0,145,1,0,1560,0,0,0,0,Adult,
Chitty,2135,10-Apr-2018,"Charles Krebs, Alice Kenney, Heather Sterling, Rachael Ryan, Stella Sortella",24529,1,1385,1,1,0,136,0,0,0,0,0,0,0,Adult,
Chitty,2135,10-Apr-2018,"Charles Krebs, Alice Kenney, Heather Sterling, Rachael Ryan, Stella Sortella",24606,1,1350,1,1,0,134,1,0,1335,1,1335,0,0,Adult,"rc new day 1; rc on day 2, day 3"
